index,token_creator,project_name,name,labels
0x705350c4bcd35c9441419ddd5d2f097d7a55410f,0xc4AD0Ef33A0A4ddA3461c479ccb6c36d1e4B7Be4,Curve DAO Token,Curve.fi: sBTC Liquidity Gauge,"['curve-fi', 'yield-farming']"
0x317625234562b1526ea2fac4030ea499c5291de4,0x51F22ac850D29C879367A77D241734AcB276B815,(Proxy contract) Aave Token,Aave: LEND To AAVE Migrator,['aave']
0x090d4613473dee047c3f2706764f49e0821d256e,0x41653c7d61609D856f29355E404F310Ec4142Cfb,Uniswap (UNI),Uniswap: Token Distributor,['uniswap']
0xba100000625a3754423978a60c9317c58a424e3d,0x24A12Fa313F57aF541d447c594072A992c605DCf,Balancer (BAL),Balancer: BAL Token,['balancer']
0xdcd51fc5cd918e0461b9b7fb75967fdfd10dae2f,0x0cCF14983364A7735d369879603930Afe10df21e,Rocket Pool (RPL),Rocket Pool: Node Deposits,['rocket-pool']
0xfc92d0e9fa35df17e3a6d9f40716ca2ce749922b,0xa850535D3628CD4dFEB528dC85cfA93051Ff2984,LQTY,Liquity: Multi Trove Getter,['liquity']
0xe710ced57456d3a16152c32835b5fb4e72d9ea5b,0x301DF37d653b281AF83a1DDf4464eF21A622eC83,dYdX (DYDX),dYdX: Community Treasury,['dydx']
0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f,0xF942Dba4159CB61F8AD88ca4A83f5204e8F4A6bd,SushiToken (SUSHI),SushiSwap: Router,['sushiswap']
0xa7429af4deb16827dad0e71d8aeea9c2bf70e32c,0xA28ea848801da877E1844F954FF388e857d405e5,Aura,Aura: BAL Liquidity Provider,['aura-finance']
0xbe731507810c8747c3e01e62c676b1ca6f93242f,0xD7c4208AeB0961972B3eA717Be25F2194d5F0331,OHM V1,OlympusDAO: Staking Distributor V1,['olympusdao']
0xdba68f07d1b7ca219f78ae8582c213d975c25caf,0x60e2E1b2a317EdfC870b6Fc6886F69083FB2099a,UniCrypt,Unicrypt : Token Vesting,['unicrypt']
0x4eaed76c3a388f4a841e9c765560bbe7b3e4b3a0,0xfddfE525054efaAD204600d00CA86ADb1Cc2ea8a,Spell Token (SPELL),Abracadabra.Money: cvxtricrypto2 Market,['abracadabra-money']
0xc145990e84155416144c532e31f89b840ca8c2ce,0x3efF38C0e1e5DD6Bd58d3fa79cAecc4Da46C8866,THORChain ETH.RUNE,THORSwap: RouterV2,"['bridge', 'dex']"
0xcc4304a31d09258b0029ea7fe63d032f52e44efe,0x28EC390b368BED6a4553215b5DBEBB551A4B12AE,(Proxy contract) TrustSwap Token,,['bridged-token']
0x0aff88b4cf3015c9c17f1da1fccb88c632f3505e,0x1e1fEdbeB8CE004a03569A3FF03A1317a6515Cf1,DxSale.Network,Quarashi Network: Old QUA Token,['old-contract']
0xc5102fe9359fd9a28f877a67e36b0f050d81a3cc,0x9AA99C23F67c81701C772B106b4F83f6e858dd2E,Hop,Hop: HOP Token,['hop-protocol']
0xc186fa914353c44b2e33ebe05f21846f1048beda,0x9A8f92a830A5cB89a3816e3D267CB7791c16b04D,Across Protocol Token,Across Protocol: Hub Pool V2,['across-protocol']
0x6123b0049f904d730db3c36a31167d9d4121fa6b,0x69FE2573CEf2837F5CE9B9c9faD81a107Df50bbd,Ribbon (RBN),Ribbon Finance: RBN Token,['ribbon-finance']
0x0954906da0bf32d5479e25f46056d22f08464cab,0xe501D177fE2172E1dA8a6D338a44d9f89705ed5C,Index,Index Coop: INDEX Token,['index-coop']
0x42cd8312d2bce04277dd5161832460e95b24262e,0xE0F4217390221aF47855E094F6e112D43C8698fE,PoolTogether (POOL),PoolTogether: Treasury,['gitcoin-grantee']
0x02285acaafeb533e03a7306c55ec031297df9224,0x377598d56030b2d6a9E83f20d44ba3B10ddFA2D5,dForce (DF),dForce: dDAI Token,['dforce']
0xb8c5af54bbdcc61453144cf472a9276ae36109f9,0x197939c1ca20C2b506d6811d8B6CDB3394471074,Cream,Iron Bank: iCRV,['cream-finance']
0xb2df48a0c4a07031f538353aa35d7ffa24e25ec1,0x7FAfc11677649DB6AbFEC127B4B776D585520ae1,Flex Ungovernance Token,Reflexer Finance: GEB Single Ceiling Setter,['reflexer-finance']
0xe2e3441004e7d377a2d97142e75d465e0dd36af9,0xE8bc44AE4bA6EDDB88C8c087fD9b479Dff729850,Hashflow,Hashflow: Bridge,['bridge']
0x0e906a0a798429fe5aa81e5052a5898dd0473907,0xc7D0445ac2947760b3dD388B8586Adf079972Bf3,BONE SHIBASWAP,Shiba Inu: Fetch,['shiba-inu']
0x8daebade922df735c38c80c7ebd708af50815faa,0x123694886DBf5Ac94DDA07135349534536D14cAf,tBTC,tBTC: TBTC Token,['tbtc']
0xc0d4ceb216b3ba9c3701b291766fdcba977cec3a,0xe7Ad7d90639A565FE3A6F68A41AD0B095f631F39,BTRFLY,Redacted Cartel: BTRFLY Token,['redacted-cartel']
0x84810bcf08744d5862b8181f12d17bfd57d3b078,0x18691f528659D0Abd08f79498dCc7B6fBdc1e91d,SharedStake Governance Token,SharedStake: Old SGT Token,['old-contract']
0x98c54fd8c98eaf0938c4a00e7935a66341f7ba0e,0x19F12C947D25Ff8a3b748829D8001cA09a28D46d,Meta (MTA),mStable: Feeder Interest Validator,['mstable']
0xc76190e04012f26a364228cfc41690429c44165d,0xB8f02248d53F7EdfA38E79263e743e9390f81942,(Proxy contract) Rari Governance Token (RGT),Rari Capital: Fuse Pool Lens Secondary,['rari-capital']
0x960c437e2a9a9a25e0fedc0c8a5899827b10f63c,0x11111D16485aa71D2f2BfFBD294DCACbaE79c1d4,ichi.farm,Balancer: LINK/ICHI 33/67,['balancer']
0x942df696cd1995ba2eab710d168b2d9cee53b52c,0x904b5993fC92979eeEdC19cCC58bED6B7216667c,(Proxy contract) MCDEX Token (MCB),MCDEX: SNX AMM,['mcdex']
0x1391d9223e08845e536157995085fe0cef8bd393,0xf6E2Da7D82ee49f76CE652bc0BeB546Cbe0Ea521,(Proxy contract) TrueFi (TRU),TrueFi: Deployer,['contract-deployer']
0xb78421bbf3ca0295c8b49e65306e56e71e6ecd15,0x907D9B32654B8D43e8737E0291Ad9bfcce01DAD6,PickleToken,Balancer: DAI/PICKLE 10/90,['balancer']
0x1ede971f31f7630bae9f14d349273621a5145381,0x0d2B405211C68e9EBC2c86B71f41C9a293bBbE36,Premia,Premia: FounderVesting 4,['premia']
0xf687e1481d85f8b9f4d1f4d4c15348cef8e5a762,0x4711ba56879606194A2DFF7692C7211717FfeE96,Relay Token,Relay Chain: Bridge,['bridge']
0x4b228d99b9e5bed831b8d7d2bcc88882279a16bb,0x3FcB35a1CbFB6007f9BC638D388958Bc4550cB28,Inverse DAO,Inverse Finance: anINVDOLA-SLP,['inverse-finance']
0x8fb00fdebb4e83f2c58b3bcd6732ac1b6a7b7221,0x3Ea94AbCBAaFb7E2BfE63a0dBe8Ff06a077bA9bA,Orion Protocol,Orion Protocol: Old ORN Token,['old-contract']
0x380b7308bb8fbb4e7e235c2216898907b49d3f6a,0xa2E900731D6959b27637399b5a38c39e3Cd23F4f,@EthernityChain $ERN Token,Polkastarter: Ethernity POLS,['polkastarter']
0x6ee6683cb9b44810369c873679f8073bcbe52f27,0x1D075f1F543bB09Df4530F44ed21CA50303A65B2,Hakka Finance (HAKKA),Hakka Finance: Rewards 2,['hakka-finance']
0x74312363e45dcaba76c59ec49a7aa8a65a67eed3,0xDC43b25f3AbF65825E52b73441E47F2Ce0F9c47D,X2Y2Token,X2Y2: Exchange,['marketplace']
0xecad1ab3464eccc7536af6afee414df873495616,0x67Ee188Ee1319CDAc271553e7b8FAAed2fBC52CC,BoringDAO,BoringDAO: Bridge,['bridge']
0x979e2fde487534be3f8a41cd57f11ef9e71cdc1a,0xf1Ba76d490183a10B29f4dFc89d84C1F9B41dD3d,Alchemist,Alchemist Coin: Stream V1,['alchemist-coin']
0xe4815ae53b124e7263f08dcdbbb757d41ed658c6,0x6383d169a2353B72097B3862625F50fFb75c42Fe,Zks,ZKSwap: ZKS Token,['blocked']
0x8696bde5cc30545b3b049f3529abbfb2b1e0c007,0x92b22149fec19094650f3f99dC141c8f77b03c15,UNIC (UNIC),Jenny: Deployer,['contract-deployer']
0x635e4a8d23d9add975e931113ddd2ac3663a7325,0x4C4871e1c48Bc7C1e86d9cf3D41846E9A2C24c36,bearn.fi,Value Defi: BFIE/VALUE Pool 70/30,['value-defi']
0xb8baa0e4287890a5f79863ab62b7f175cecbd433,0xA6dF4fcB1Ca559155A678e9AFf5DE3F210C0ff84,Swerve DAO Token,Swerve.fi: SWRV Token,['blocked']
0xc8899da25423ac52aa711b97ae04c8888fa1e1d7,0xFa0e08b7e80E6e7eeCAd9800Bc32eF19132da295,MANTRA DAO (OM),MANTRA DAO: Grants,['mantra-dao']
0x0f51bb10119727a7e5ea3538074fb341f56b09ad,0x29dcEE0513F729f0a8C3E591aeed224695ED5c1F,DAO Maker,DAO Maker: DAO Token,['blocked']
0xb67d7a6644d9e191cac4da2b88d6817351c7ff62,0x22f617efb6FD3F9F2cDE15D16c39c22930d0081A,LuaToken,LuaSwap: Master Farmer LP Staking Pool,"['staking', 'yield-farming']"
0x5b7a093949aaa9ef70e5a563e50aaf5f60154602,0x81245E489Cf1e02e38A83C2B9618826747410C50,Revest,Revest Finance: Metadata,['revest-finance']
0xc5878cc2172d64918553515973a5b0fd4aff6c32,0x918153D6e806dF9d4D33664D1cC580416171f720,Peri Finance Token,Peri Finance: Old PERI Token,['old-contract']
0xbf68b9a94c655e9931e94ea0923b51608896939d,0xb782425E27A88921189a05bE7199748DdbDB71bf,UnoRe,Polkastarter: UnoRe POLS,['polkastarter']
0xe923060c48266e6ba0993a8d214fd64a5f103979,0x80106198DC662f5E02E79dE2BE10052e5aE016C2,Phuture,Polkastarter: Phuture Finance,['polkastarter']
0x0de05f6447ab4d22c8827449ee4ba2d5c288379b,0xB7F72028D9b502Dc871C444363a7aC5A52546608,(Proxy contract) Ooki Token,Ooki: OOKI Token,['ooki']
0x5218e472cfcfe0b64a064f055b43b4cdc9efd3a6,0xFc633b4776ecc6299eFb597A9C6cfCFbA20Ba398,UnFederalReserveToken (eRSDL),UnFederalReserve: eRSDL Token,"['reservelending', 'unfederalreserve']"
0x7ae275fafdbcded0a4cdc6e25884b849f00efc48,0x6dc6456B093551eFf2Dc40002A0367258a8bAC33,UniLend Finance Token (UFT),Balancer: UFT/ETH 50/50,['balancer']
0xa7ed29b253d8b4e3109ce07c80fc570f81b63696,0x68C3a95B35C45Db5dB67ed83c43305052FAD6e04,BAC (BAC),Basis Cash: BAS Token,['blocked']
0x0ce8f4e28b175eeec37ba7e28560852b61f72971,0x4fB94CB25918Cbe62EC2ab80E3569492af59B8c3,Percent,Balancer: PCT/ETH 75/25,['balancer']
0xaf239a6fab6a873c779f3f33dbd34104287b93e1,0x958892b4a0512b28AaAC890FC938868BBD42f064,(Proxy contract) USDI Token,Interest Protocol: Old IPT Token,['old-contract']
0x9812ae472b8fc58257f2256a3f0cc2e14d08481c,0x30Edf900a0a6A47cD3057Ec37a163B72773FFf9E,MahaDAO,Polkastarter: MahaDAO POLS,['polkastarter']
0xd897b5458afe7e2dc26d94ec33cf7d09a9158568,0x7Be4D5A99c903C437EC77A20CB6d0688cBB73c7f,Value Liquidity,Value DeFi: BarnBridge-USDC Vault Strategy,['value-defi']
0x33d0568941c0c64ff7e0fb4fba0b11bd37deed9f,0x76E2b8125b3f42cb1763BE4173c269b7725499D9,RAMP DEFI,Ramp Defi: RAMP Token,['blocked']
0x03e173ad8d1581a4802d3b532ace27a62c5b81dc,0x4D03eF005e5f559fc9294a8E1CeBbA09284B1F82,Thales Token,Thales: Old THALES Token,['old-contract']
0x5427fefa711eff984124bfbb1ab6fbf5e3da1820,0x1b9dFC56e38b0F92448659C114e2347Bd803911c,Aelin,Celer Network: cBridge V2,['bridge']
0x5b0501f7041120d36bc8c6dc3faea0b74b32a0ed,0x683A78bA1f6b25E29fbBC9Cd1BFA29A51520De84,(Proxy contract) YAM,Yam.Finance: Incentivizer,['yam-finance']
0x1c9491865a1de77c5b6e19d2e6a5f1d7a6f2b25f,0x3D0A2a1ddeD59cC1cE1edF59295e1491748fD52B,(Proxy contract) Antimatter.Finance Governance Token (MATTER),Antimatter: Old MATTER Token,['old-contract']
0xaef1ed4c492bf4c57221be0706def67813d79955,0xf827AC3A510ecA8D7f356C9C9d78699d5848Cabf,Unit Protocol,Unit Protocol: Liquidation Auction 02,['unit-protocol']
0x39824069d74aba48596c456feb9d0b4290125951,0xE36b46AEA38d1E9c7a4CEB698682bF46932782FE,OddzToken,Polkastarter: Oddz POLS,['polkastarter']
0x7b7499fab431dee48174f8a775e799dd1542f487,0x1De9184f070627A33eab44E329c699B3068c073D,ETHA,Balancer: ETHA/USDC 80/20,['balancer']
0xbf11db4e63c72c5dffde0f5831d667817c9e9ad5,0x5637c1E5Bb45ffA08F8C069D2d4C853e745E62FA,AXIA TOKEN (axiaprotocol.io),Balancer: LINK/BAND/ZAP/TRB/AXIAv3 60/10/10/10/10,['balancer']
0xd47ff7c7a40273fd62e0ee1ffe69eddb6124ec6d,0x19B292c1a84379Aab41564283e7f75bF20e45f91,Multiplier,TakoSwap: Old TAKO Token,['old-contract']
0x854123b3c1ea19242d3a1a3510703f8f01635372,0xd1B10607921C78D9a00529294C4b99f1bd250E1c,Auctus (AUC),Balancer: AUC/USDC 10/90,['balancer']
0xd20b405e0d56e68e9b111baa9e413410b419e48a,0x29Fd05Ec26e64D73F60fa6e83FD2aeb9CEB4a22F,Typhoon,"Typhoon.Cash: Reward Pool 5,000,000 cDAI",['typhoon-cash']
0x5ac929a67b8968010e307d3428f42271025531d2,0x43229759E12eFbe3e2A0fB0510B15e516d046442,MMToken (MM),,['maker-vault-owner']
0x7f5f854ffb6b7701540a00c69c4ab2de2b34291d,0x0691f5804d4227925F19b031821b530b48FFf38f,Illuvium (ILV),Illuvium: Migrate,['illuvium']
0xf606297642b209b06d925099356ba3bd8a5291f5,0x5A3403617a387eA54030A36F71C195e22A0d76AF,Tenet,Polkastarter: TENET POLS,['polkastarter']
0xc40d7b9ca90eaca4a6e067b6ec689fd29f4a8b3c,0xA38afc5c1E33f85B06D4b8C2b4312c1DC1054882,(Proxy contract) NEST,NEST Protocol: nToken Oracle 3,"['nest-protocol', 'oracle']"
0x19b770c8f9d5439c419864d8458255791f7e736c,0x471aEa3d5A2c588A51E74132752C7b15c185DB79,(Proxy contract) Base Protocol,Value Defi: BASE/USDC Pool 98/2,['value-defi']
0x3ab16af1315dc6c95f83cbf522fecf98d00fd9ba,0xFf6c307226343fCF96AF2f6B5B05f63F717e68cb,LooksRare Token,LooksRare: Aggregator Fee Sharing Uniswap V3,['looksrare']
0xda522be7bdff2207b8c3afb3786cae165b19cb4d,0xfeed25Fc6Eae234c5eEfB3891cA18Bd4312a746f,TornadoCORE,Balancer: UNI-V2/ETH 50/50 #10,['balancer']
0xa2cd3d43c775978a96bdbf12d733d5a1ed94fb18,0xe864C9439eb042e969c59Dd13D38cFdb28e16d73,Chain,Chain: XCN Token,['chain']
0xbc138bd20c98186cc0342c8e380953af0cb48ba8,0x546D090bbcEC3d96903d41e38C3436c1C601AF9c,Candle,Candle: Old CNDL Token,['old-contract']
0xc91a71a1ffa3d8b22ba615ba1b9c01b2bbbf55ad,0x60bAfCe7AF8Cc6C69D92952453AcEE1d4Da7e7D8,ZigZag,ZigZag Exchange: ZZ Token,['dex']
0xab0bca3ff56d891cc8b22a5d9705f7088ce3bf3b,0x9c767178528c8a205DF63305ebdA4BB6B147889b,ARCx Governance Token,ARCx: Farm 9,['arcx']
0xc903e762aa576e9767b28e0d91dace9cd01b341a,0x3cB580c041Cce953adfc2148e5BE6c1c893CCa9E,Merit Circle,,['contract-deployer']
0xb728495e2022ff7aee207417aca9e0d306c0c75e,0x057fcD7BD66e0b0e7CBF387D12b2A49A20d30922,Ethereum Push Notification Service,Polkastarter: EPNS POLS,['polkastarter']
0x0aff88b4cf3015c9c17f1da1fccb88c632f3505e,0x1e1fEdbeB8CE004a03569A3FF03A1317a6515Cf1,Rubic (RBC),Quarashi Network: Old QUA Token,['old-contract']
0xaaca86b876ca011844b5798eca7a67591a9743c8,0xf06cff8692A880fFc32a73136b0bBE02161c07F9,BIOS,0xNodes: BIOS Token,['blocked']
